orb_ID,place,summary,theme,time,memory type,year,area,residence,trigger,weather,connection,transformation
analog_1,Coastline or beach,"Clamming on a cold PNW morning with family: salt, mud, sand, and salty air.",outdoor activity,Childhood (ages 0-12),Personal and specific to me,1978,Mixed/unsure,No,"people,places,food or drink,weather,music,smells",It triggers my memory,"My home,Specific people involved in the memory,A particular time in my life","No, it remains largely the same"
analog_10,Coastline or beach,"Decades of coast trips with dogs, kids, wind, and a seal that became family legend.",family trip,Ongoing (this is a recurring or continuous experience),Shared between myself and specific others,1970,"Rural (countryside, farmland, small towns)",Yes,"smells,interactions and conversations,other",Weather or season plays no significant role,"My current self,My past self,My home,Specific people involved in the memory","No, it remains largely the same"
analog_11,Coastline or beach,Cabin stays on the coasts with salt smoke clams and freezing ocean swims.,"nature itself,family trip",Adolescence (ages 13-18),Shared between myself and specific others,1970,Mixed/unsure,Yes,"people,places,physical objects,food or drink,weather,smells,interactions and conversations,textures",It enhances my emotional experience when recalling it,"My current self,My past self,My home,Specific people involved in the memory,A broader community,The place itself,A particular time in my life","Yes, it has changed significantly"
analog_12,Forest,Growing up on a rural Oregon farm surrounded by forest and pasture.,nature itself,Childhood (ages 0-12),Personal and specific to me,1970,Mixed/unsure,Yes,"places,physical objects,textures",It enhances my emotional experience when recalling it,"My current self,My past self,The place itself,A particular time in my life","No, it remains largely the same"
analog_13,Coastline or beach,Solo then shared: surfing and camping the north Oregon coast through the years.,outdoor activity,Ongoing (this is a recurring or continuous experience),"Shared by a collective group, culture, or community",1970,Suburban (residential areas outside city centers),Yes,"people,places,physical objects,food or drink,weather,smells,interactions and conversations",It is a primary aspect of the memory,"My current self,My past self,Specific people involved in the memory,The place itself,A particular time in my life","Yes, it has changed significantly"
analog_14,Residential area,A forested childhood home with trails forts and mountain views out the window.,outdoor activity,Childhood (ages 0-12),Shared between myself and specific others,1969,Mixed/unsure,Yes,"people,places,physical objects,interactions and conversations,holidays",Weather or season plays no significant role,"My past self,Specific people involved in the memory,The place itself,A particular time in my life",Unsure
analog_15,Coastline or beach,"Living on a lake with eagles, ospreys, otters, and trees.",nature itself,Ongoing (this is a recurring or continuous experience),"Shared by a collective group, culture, or community",1969,Suburban (residential areas outside city centers),Yes,"people,places,physical objects,weather,interactions and conversations,events,holidays","It is a primary aspect of the memory,It enhances my emotional experience when recalling it,Weather or season plays no significant role",The place itself,"No, it remains largely the same"
analog_16,Forest,Douglas firs so big they felt eternal and the whole PNW smelled like Christmas.,nature itself,Ongoing (this is a recurring or continuous experience),Personal and specific to me,1968,"Rural (countryside, farmland, small towns)",No,"people,places,physical objects,food or drink,weather,smells,textures",It enhances my emotional experience when recalling it,"My current self,My past self,My home,A particular time in my life","No, it remains largely the same"
analog_17,Coastline or beach,"Fishing, crabbing, and clamming in saltwater air with the sound of boat engines.",outdoor activity,Ongoing (this is a recurring or continuous experience),Unsure,1968,Suburban (residential areas outside city centers),Yes,"places,physical objects,food or drink,weather,smells",It triggers my memory,"My current self,My past self,Specific people involved in the memory,The place itself","No, it remains largely the same"
analog_18,Residential area,"Christmas morning in the family house with the smell of turkey, presents, and the tree.",people,Childhood (ages 0-12),Shared between myself and specific others,1968,Suburban (residential areas outside city centers),Yes,"people,physical objects,food or drink,smells,holidays",It is a secondary aspect of the memory,"My past self,My home,A particular time in my life","No, it remains largely the same"
analog_19,Residential area,Lake community life with Fourth of July pancakes and nighttime fireworks.,people,Ongoing (this is a recurring or continuous experience),"Shared by a collective group, culture, or community",1968,Suburban (residential areas outside city centers),Yes,"people,weather,smells,holidays","It is a primary aspect of the memory,It enhances my emotional experience when recalling it","My home,Specific people involved in the memory,A broader community","No, it remains largely the same"
analog_2,Forest,"Hiking through forest then camping on the beach, making a fire, smell of smoke and waves.",outdoor activity,Young adulthood (ages 18-25),Personal and specific to me,1977,"Urban (city center, dense downtown area)",No,"places,smells",Weather or season plays no significant role,"My past self,The place itself,A particular time in my life",Unsure
analog_20,Entertainment venue or arena,"Live shows at the tavern with music, beer, and dimly-lit streets.",people,Young adulthood (ages 18-25),"Shared by a collective group, culture, or community",1966,"Urban (city center, dense downtown area)",Yes,"people,places,weather,music,visual media,interactions and conversations",It is a primary aspect of the memory,"My past self,My home,Specific people involved in the memory,A broader community,The place itself,A particular time in my life","Yes, it no longer exists"
analog_21,Residential area,"Driving to 7-Eleven with friends singing along to the radio, drinking icy cold Big Gulps.",people,Adolescence (ages 13-18),"Shared by a collective group, culture, or community",1966,Suburban (residential areas outside city centers),Yes,"places,food or drink,music",It is a secondary aspect of the memory,"My past self,A particular time in my life","No, it remains largely the same"
analog_3,Coastline or beach,"Summer beach camping with family, neighborhood day trips with cold water, donuts, and sand.",family trip,Childhood (ages 0-12),Shared between myself and specific others,1974,"Rural (countryside, farmland, small towns)",Yes,"people,places,food or drink,weather,visual media,interactions and conversations,textures",It enhances my emotional experience when recalling it,"My past self,My home,Specific people involved in the memory,The place itself,A particular time in my life","No, it remains largely the same"
analog_4,Coastline or beach,"Standing at the water, watching mountains in the sun.",nature itself,Ongoing (this is a recurring or continuous experience),Personal and specific to me,1973,"Rural (countryside, farmland, small towns)",Yes,"places,interactions and conversations,events,holidays","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it,It triggers my memory","My past self,My home,The place itself,A particular time in my life","No, it remains largely the same"
analog_5,Coastline or beach,"Full beach days with wind, the cannery smell, cold ocean, and napping, exhausted on the ride home.",family trip,Childhood (ages 0-12),Unsure,1973,Suburban (residential areas outside city centers),Yes,"people,places,food or drink,weather,smells",It is a secondary aspect of the memory,"My current self,My past self,Specific people involved in the memory,A broader community,The place itself","No, it remains largely the same"
analog_6,Coastline or beach,A beach sunset with crashing waves and colors that feel primal and restorative to the soul.,nature itself,Ongoing (this is a recurring or continuous experience),Shared between myself and specific others,1973,Mixed/unsure,Yes,"people,places,weather",It enhances my emotional experience when recalling it,"My current self,Specific people involved in the memory,The place itself","No, it remains largely the same"
analog_7,Residential area,Biking and walking the neighborhood with friends in warm sounds light and easy summer air.,"outdoor activity,people",Adolescence (ages 13-18),Shared between myself and specific others,1972,"Urban (city center, dense downtown area)",Yes,"people,places,music,interactions and conversations",It is a primary aspect of the memory,"My current self,My past self,Specific people involved in the memory,The place itself,A particular time in my life","No, it remains largely the same"
analog_8,Residential area,"Buying a house that felt instantly like home, with tall firs, a cool breeze, and a park.",general,Young adulthood (ages 18-25),Personal and specific to me,1971,"Urban (city center, dense downtown area)",Yes,"places,weather",It is a primary aspect of the memory,"My current self,My past self,My home,A broader community,The place itself,A particular time in my life","No, it remains largely the same"
analog_9,Coastline or beach,"Beach trip with family, eating fried fish in the rain, wearing flannels in the fog.",family trip,Ongoing (this is a recurring or continuous experience),Shared between myself and specific others,1970,Mixed/unsure,Yes,"places,food or drink,weather","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it,It triggers my memory","My current self,The place itself","No, it remains largely the same"
digital_1,Residential area,"Summer nights at the beach with bonfires, driftwood, and cold Pacific fog.",general,Ongoing (this is a recurring or continuous experience),Unsure,2002,Mixed/unsure,No,"places,physical objects,weather","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it","My past self,A particular time in my life","Yes, it has changed significantly"
digital_10,Forest,"Driving rural highways at night through dark wet forest, feeling completely alone.","people,outdoor activity",Childhood (ages 0-12),"Shared by a collective group, culture, or community",2001,Mixed/unsure,Yes,"places,visual media,smells,interactions and conversations,textures",Weather or season plays no significant role,"My current self,My past self,My home,Specific people involved in the memory,The place itself,A particular time in my life",Unsure
digital_11,Mountain,"Hood River summers with fruit stands, wind, and the gorge stretching east forever.",outdoor activity,Adolescence (ages 13-18),Personal and specific to me,2001,Suburban (residential areas outside city centers),No,places,It is a secondary aspect of the memory,My past self,"No, it remains largely the same"
digital_12,Forest,"Running trail systems in the forest through the mud, ferns, and always-present rain.","nature itself,outdoor activity ",Childhood (ages 0-12),Shared between myself and specific others,2000,Mixed/unsure,Yes,"people,places,weather,visual media,smells,textures,events",It enhances my emotional experience when recalling it,"My past self,My home,Specific people involved in the memory,The place itself,A particular time in my life","Yes, it has changed significantly"
digital_13,Coastline or beach,"Backpacking along lakes, larches; silence above the tree line.",family trip,Childhood (ages 0-12),Shared between myself and specific others,2000,"Urban (city center, dense downtown area)",Yes,"people,places,physical objects",Weather or season plays no significant role,"My past self,My home,Specific people involved in the memory,The place itself,A particular time in my life","No, it remains largely the same"
digital_14,Residential area,"Riding the ferry across the Puget Sound, watching the city recede into gray water.","outdoor activity,people",Childhood (ages 0-12),Personal and specific to me,2000,"Urban (city center, dense downtown area)",No,"people,places,physical objects",Weather or season plays no significant role,"My past self,My home,Specific people involved in the memory","No, it remains largely the same"
digital_15,Coastline or beach,Winter storms on the Washington coast with massive spray.,"family trip,outdoor activity",Ongoing (this is a recurring or continuous experience),Shared between myself and specific others,2000,Mixed/unsure,Yes,"people,places,weather,visual media,smells",It is a secondary aspect of the memory,"My past self,My home,Specific people involved in the memory,The place itself,A particular time in my life","No, it remains largely the same"
digital_16,Mountain,Farmers markets in Portland with fresh bread and flowers.,"family trip,outdoor activity",Adolescence (ages 13-18),"Shared by a collective group, culture, or community",1999,Suburban (residential areas outside city centers),Yes,"people,places,weather,smells,interactions and conversations,holidays",It is a secondary aspect of the memory,"My past self,Specific people involved in the memory,The place itself,A particular time in my life","No, it remains largely the same"
digital_17,Coastline or beach,Mt. Hood at sunrise from Timberline Lodge with cold air and pink alpenglow on snow.,nature itself,Ongoing (this is a recurring or continuous experience),Shared between myself and specific others,1999,"Urban (city center, dense downtown area)",Yes,"people,places,food or drink,weather,visual media,smells,holidays",It is a primary aspect of the memory,"My current self,My past self,My home,A broader community,The place itself,A particular time in my life","No, it remains largely the same"
digital_18,Mountain,Powder skiing on Mt. Hood after skipping class on a Spring day.,"outdoor activity,people",Adolescence (ages 13-18),Shared between myself and specific others,1998,"Rural (countryside, farmland, small towns)",No,"people,places,physical objects,weather,visual media,interactions and conversations,events",It is a primary aspect of the memory,"My past self,My home,The place itself,A particular time in my life","No, it remains largely the same"
digital_19,Store/shop,A shop memory from adolescence in Washington felt mostly through music and mood.,general,Adolescence (ages 13-18),Shared between myself and specific others,1998,Suburban (residential areas outside city centers),Yes,music,It is a secondary aspect of the memory,My current self,"Yes, it has changed significantly"
digital_2,Residential area,"Seattle summer nights: barefoot sidewalks, still-light sky, and a fan in the door.","outdoor activity,people",Childhood (ages 0-12),Shared between myself and specific others,2002,Mixed/unsure,No,"people,places,weather,smells,textures",It is a primary aspect of the memory,My home,"No, it remains largely the same"
digital_20,Mountain,"Backpacking the North Cascades, the Olympics, and Rainier, mountains as home base.",outdoor activity,Young adulthood (ages 18-25),Shared between myself and specific others,1998,Mixed/unsure,No,"places,weather,events,holidays,other",Unsure,"My current self,My past self,My home,Specific people involved in the memory,A broader community,The place itself,A particular time in my life","No, it remains largely the same"
digital_21,Entertainment venue or arena,Annual corn maze on Sauvie Island with the starry sky and muffled distant noise.,people,Ongoing (this is a recurring or continuous experience),Personal and specific to me,1997,"Urban (city center, dense downtown area)",Yes,"places,visual media,textures,holidays,other",It is a primary aspect of the memory,"My current self,My past self,My home,A particular time in my life","No, it remains largely the same"
digital_22,Forest,"Forest trails at Mount Rainier with cold air, huge trees, and a feeling of home.",nature itself,Childhood (ages 0-12),"Shared by a collective group, culture, or community",1996,"Urban (city center, dense downtown area)",Yes,"places,weather,smells","It is a primary aspect of the memory,It is a secondary aspect of the memory,It enhances my emotional experience when recalling it","My current self,My past self,My home,A broader community,The place itself,A particular time in my life",Unsure
digital_23,Coastline or beach,"Fourth of July on the water, a day of volleyball and the family together.",people,Childhood (ages 0-12),Shared between myself and specific others,1996,"Rural (countryside, farmland, small towns)",Yes,"places,food or drink,weather,events,holidays",It is a primary aspect of the memory,"My past self,The place itself,A particular time in my life","No, it remains largely the same"
digital_24,Central/main street,"Portland neighborhoods during college, COVID lockdown built around restaurants and streets.",general,Young adulthood (ages 18-25),"Shared by a collective group, culture, or community",1995,Mixed/unsure,No,"people,places,food or drink,weather,music,visual media,interactions and conversations,events",It is a secondary aspect of the memory,"My past self,Specific people involved in the memory,A broader community,The place itself,A particular time in my life","No, it remains largely the same"
digital_25,Coastline or beach,"Thanksgiving on the Oregon coast with rain, wind, and sand stinging bare ankles.",nature itself,Childhood (ages 0-12),"Shared by a collective group, culture, or community",1994,Mixed/unsure,No,"smells,other",It triggers my memory,"My home,The place itself","No, it remains largely the same"
digital_26,Central/main street,"Walking to a bakery with dad on weekends for donuts, milk, and small-town windows.",people,Childhood (ages 0-12),Shared between myself and specific others,1991,Mixed/unsure,Yes,"places,food or drink,weather,visual media,smells,textures","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it",A particular time in my life,Unsure
digital_3,Forest,"Walks through Pacific Northwest forest finding ferns, snails, berries, and hearing birdsong.","nature itself,outdoor activity ",Ongoing (this is a recurring or continuous experience),"Shared by a collective group, culture, or community",2002,Mixed/unsure,Yes,"places,physical objects,weather,smells,textures","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it,It triggers my memory","My current self,My past self,My home,The place itself","Yes, it has changed significantly"
digital_4,Coastline or beach,Drives through thickening forest and fog to visit grandparents on coast.,family trip,Childhood (ages 0-12),Shared between myself and specific others,2002,Mixed/unsure,Yes,"places,weather,smells,holidays","It is a secondary aspect of the memory,It enhances my emotional experience when recalling it","My past self,Specific people involved in the memory,The place itself,A particular time in my life","No, it remains largely the same"
digital_5,Mountain,"Yearly Sunriver winter trips with sledding in fresh snow, quiet and cold with bright white light.","family trip,outdoor activity",Childhood (ages 0-12),Shared between myself and specific others,2001,"Urban (city center, dense downtown area)",No,"people,places,weather","It is a primary aspect of the memory,It enhances my emotional experience when recalling it,It triggers my memory","My past self,My home,Specific people involved in the memory",Unsure
digital_6,Coastline or beach,A coastline memory from adolescence in Washington with sparse detail left behind.,general,Adolescence (ages 13-18),,2001,"Urban (city center, dense downtown area)",Yes,,,,
digital_8,Mountain,Overnight at a fire lookout with friends watching sunrise in cold mountain silence.,"people,outdoor activity",Adolescence (ages 13-18),Shared between myself and specific others,2001,Suburban (residential areas outside city centers),No,"people,places,weather,interactions and conversations","It is a primary aspect of the memory,It is a secondary aspect of the memory","My past self,My home,Specific people involved in the memory,The place itself","No, it remains largely the same"
digital_9,Forest,A snow-bent fir branch became a winter shelter for siblings in cold dark green woods.,"people,outdoor activity",Childhood (ages 0-12),Shared between myself and specific others,2001,"Rural (countryside, farmland, small towns)",Yes,"weather,interactions and conversations",It is a primary aspect of the memory,"My home,The place itself,A particular time in my life",Unsure